publication_title,title_url,author,access_type,source_domain,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,coverage_depth,publication_type,date_monograph_published_print,date_monograph_published_online,embargo_info
OCTA SB 125 TIRCP & ZETCP Allocation Package,https://calsta.ca.gov/-/media/calsta-media/documents/octa_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,2023,
PCTPA SB 125 Initial Allocation Request Package_12-29-23,https://calsta.ca.gov/-/media/calsta-media/documents/placer_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
California State Transportation Agency Privacy Policy,https://calsta.ca.gov/-/media/calsta-media/documents/privacy-policy-calsta.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
SB 125 Formula-Based TIRCP & ZETCP Allocation Package,https://calsta.ca.gov/-/media/calsta-media/documents/rctc_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,2023,
Governor's Reorganization Plan No. 2 of 2012,https://calsta.ca.gov/-/media/calsta-media/documents/reorganization-plan-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
SACOG SB 125 Allocation Package,https://calsta.ca.gov/-/media/calsta-media/documents/sacog_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Considerations for Speed Limits and Management,https://calsta.ca.gov/-/media/calsta-media/documents/safetrec_grembek_ab2363_06252019-a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
SB 125 Cover Letter,https://calsta.ca.gov/-/media/calsta-media/documents/sandag_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
SB 125 Final Guidelines,https://calsta.ca.gov/-/media/calsta-media/documents/sb125-disbursement_1_with-projects_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
IAP.B-Initial Allocation Package_Narrative,https://calsta.ca.gov/-/media/calsta-media/documents/sbcta_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
LA/San Diego Regional Rail Corridor WG final report,https://calsta.ca.gov/-/media/calsta-media/documents/sdregrailcorridorfinalreportfinala11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
Allocation Package Narrative,https://calsta.ca.gov/-/media/calsta-media/documents/shasta_a11y.pdf,California Department of Transportation,free,calsta.ca.gov,,,,,,,,,,,,,
